Dateiname Realismuskorpus,Repositorium,Vorname Autor,Nachname Autor,Nationalität,Pseudonym/Anderer Name,Gesamtname Autor,Geburtsjahr,Sterbejahr,Autor:innengender,Titel,Dateiname d-Prose,verwendetes Datum,Wörter,Typen,norm_year
Boy-Ed_Ida_Empor,gutenberg,Ida,Boy-Ed,Deutschland,Ida Cornelia Ernestina Ed,Ida Boy-Ed,1852,1918,female,Empor!,Boy-Ed_Ida_Empor,1892,57924,9310,1892
Boy-Ed_Ida_Fanny_Foerster,textgrid,Ida,Boy-Ed,Deutschland,Ida Cornelia Ernestina Ed,Ida Boy-Ed,1852,1918,female,Fanny Förster,Boy-Ed_Ida_Fanny_Foerster,1889,69873,11187,1889
Dahn_Felix_Attila,gutenberg,Felix,Dahn,Deutschland,Ludwig Sophus Felix Dahn,Felix Dahn,1834,1912,male,Attila,Dahn_Felix_Attila,1888,58306,10738,1888
Dahn_Felix_Bissula,gutenberg,Felix,Dahn,Deutschland,Ludwig Sophus Felix Dahn,Felix Dahn,1834,1912,male,Bissula,Dahn_Felix_Bissula,1884,69401,11407,1884
Dahn_Felix_Ebroin,gutenberg,Felix,Dahn,Deutschland,Ludwig Sophus Felix Dahn,Felix Dahn,1834,1912,male,Ebroin,Dahn_Felix_Ebroin,1897,76255,12345,1897
Dahn_Felix_Fredigundis,gutenberg,Felix,Dahn,Deutschland,Ludwig Sophus Felix Dahn,Felix Dahn,1834,1912,male,Fredigundis,Dahn_Felix_Fredigundis,1886,92617,12622,1886
Dahn_Felix_Gelimer,gutenberg,Felix,Dahn,Deutschland,Ludwig Sophus Felix Dahn,Felix Dahn,1834,1912,male,Gelimer,Dahn_Felix_Gelimer,1885,81998,12698,1885
Dahn_Felix_Julian_der_Abtruennige,gutenberg,Felix,Dahn,Deutschland,Ludwig Sophus Felix Dahn,Felix Dahn,1834,1912,male,Julian der Abtrünnige,Dahn_Felix_Julian_der_Abtruennige,1893,178238,21399,1893
Dahn_Felix_und_Dahn_Therese_Walhall,gutenberg,Felix und Therese,Dahn und Dahn,Deutschland,"Therese Dahn, geb. Freiin Droste zu Hülshoff",Felix Dahn und Therese Dahn,1845,1929,both,Walhall,Dahn_Felix_und_Dahn_Therese_Walhall,1885,141718,17203,1885
Duncker_Dora_Grossstadt,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Großstadt,Duncker_Dora_Grossstadt,1900,71654,9819,1900
Eyth_Max_Hinter_Pflug_und_Schraubstock,gutenberg,Max,Eyth,Deutschland,"Eduard Friedrich Maximilian Eyth, Max von Eyth",Max Eyth,1836,1906,male,Hinter Pflug und Schraubstock,Eyth_Max_Hinter_Pflug_und_Schraubstock,1899,154983,20275,1899
Fontane_Theodor_Der_Stechlin,DTA,Theodor,Fontane,Deutschland,Heinrich Theodor Fontane,Theodor Fontane,1819,1898,male,Der Stechlin,Fontane_Theodor_Der_Stechlin,1897,125567,14915,1897
Fontane_Theodor_Effi_Briest,DTA,Theodor,Fontane,Deutschland,Heinrich Theodor Fontane,Theodor Fontane,1819,1898,male,Effi Briest,Fontane_Theodor_Effi_Briest,1895,95830,11113,1895
Fontane_Theodor_Frau_Jenny_Treibel,textgrid,Theodor,Fontane,Deutschland,Heinrich Theodor Fontane,Theodor Fontane,1819,1898,male,Frau Jenny Treibel,Fontane_Theodor_Frau_Jenny_Treibel,1892,59324,9439,1892
Fontane_Theodor_Graf_Petoefy,textgrid,Theodor,Fontane,Deutschland,Heinrich Theodor Fontane,Theodor Fontane,1819,1898,male,Graf Petöfy,Fontane_Theodor_Graf_Petoefy,1884,59474,9539,1884
Fontane_Theodor_Irrungen,DTA,Theodor,Fontane,Deutschland,Heinrich Theodor Fontane,Theodor Fontane,1819,1898,male,"Irrungen, Wirrungen",Fontane_Theodor_Irrungen,1887,51811,8186,1887
Fontane_Theodor_Meine_Kinderjahre,gutenberg,Theodor,Fontane,Deutschland,Heinrich Theodor Fontane,Theodor Fontane,1819,1898,male,Meine Kinderjahre,Fontane_Theodor_Meine_Kinderjahre,1894,57349,10697,1894
Fontane_Theodor_Unwiederbringlich,textgrid,Theodor,Fontane,Deutschland,Heinrich Theodor Fontane,Theodor Fontane,1819,1898,male,Unwiederbringlich,Fontane_Theodor_Unwiederbringlich,1892,81370,11367,1892
Franzos_Karl_Emil_Judith_Trachtenberg,gutenberg,Karl Emil,Franzos,Österreich,0,Karl Emil Franzos,1848,1904,male,Judith Trachtenberg,Franzos_Karl_Emil_Judith_Trachtenberg,1891,59025,8437,1891
