Nr.,author,gender,Lebensjahre,title,tokens,file,Quelle,Anm. zum Erstdruck,date,Text kanonisiert,Autor:in kanonisiert,Epochenzugehärigkeit Text,Epochenzugehärigkeit Autor:in
2,"Arnim, Ludwig Achim von",m,1781-1831,"Armut, Reichtum, Schuld und Buße der Gräfin Dolores",194305,"Arnim_Achim_von_Armut,_Reichtum,_Schuld_und_Busse_der_Graefin_Dolores","Achim von Arnim: Sämtliche Romane und Erzählungen. Auf Grund der Erstdrucke herausgegeben von Walther Migge, Bde. 1-3, München: Carl Hanser Verlag, 1962-1965.",Erstdruck: Berlin (Realschulbuchhandlung) 1810.,1810,ja,ja,Romantik (Romantik-Handbuch),Romantik (Romantik-Handbuch)
4,"Arnim, Ludwig Achim von",m,1781-1831,Die Kronenwächter,117743,Arnim_Achim_von_Die_Kronenwaechter_Erster_Band,"Achim von Arnim: Sämtliche Romane und Erzählungen. Auf Grund der Erstdrucke herausgegeben von Walther Migge, Bde. 1-3, München: Carl Hanser Verlag, 1962-1965.",Erstdruck: Berlin (Maurer'sche Buchhandlung) 1817.,1817,ja,ja,Romantik (kindler),Romantik (Romantik-Handbuch)
3,"Arnim, Ludwig Achim von",m,1781-1831,Die Kronenwächter,101166,Arnim_Achim_von_Die_Kronenwaechter_Zweiter_Band,"Achim von Arnim: Sämtliche Romane und Erzählungen. Auf Grund der Erstdrucke herausgegeben von Walther Migge, Bde. 1-3, München: Carl Hanser Verlag, 1962-1965.","Entstanden zwischen 1812 und 1817, Erstdruck: Weimar (Arnim'scher Verlag) 1854.",1812,ja,ja,Romantik (kindler),Romantik (Romantik-Handbuch)
1,"Arnim, Ludwig Achim von",m,1781-1831,Hollins Liebeleben,30439,Arnim_Achim_von_Hollins_Liebeleben,"Achim von Arnim: Hollins Liebeleben / Gräfin Dolores. Frankfurt am Main: Deutscher Klassiker Verlag, 1989.",1802,1802,nein,ja,Romantik (Prosa der Romantik),Romantik (Romantik-Handbuch)
5,"Brentano, Clemens",m,1778-1842,Godwi oder Das steinerne Bild der Mutter,157651,Brentano_Clemens_Godwi_oder_Das_steinerne_Bild_der_Mutter,"Clemens Brentano: Werke. Herausgegeben von Friedhelm Kemp, Band 1-4, München: Hanser, [1963-1968].",Erstdruck: Bremen (Wilmans) 1801-1802 (anonym).,1802,ja,ja,Frühromantik (kindler),Frühromantik (kindler)
7,"Eichendorff, Joseph von",m,1788-1857,Ahnung und Gegenwart,114269,Eichendorff_Joseph_von_Ahnung_und_Gegenwart,"Joseph von Eichendorff: Werke. Nach den Ausgaben letzter Hand unter Hinzuziehung der Erstdrucke herausgegeben von Ansgar Hillach, Bd. 1-3, München: Winkler, 1970 ff",Erstdruck: Nürnberg (J. L. Schrag) 1815.,1815,ja,ja,Romantik (ADLG),Romantik (ADLG)
6,"Eichendorff, Joseph von",m,1788-1857,Dichter und ihre Gesellen,90300,Eichendorff_Joseph_von_Dichter_und_Gesellen,"Joseph von Eichendorff: Dichter und ihre Gesellen. Leipzig: Reclam, 1987.",1833,1833,nein,ja,Romantik (Kindler),Romantik (ADLG)
9,"Fouqué, Caroline de la Motte",f,1773-1831,Magie der Natur,49551,Fouque_Caroline_de_la_Motte_Magie_der_Natur,"Caroline de la Motte Fouqué: Die Magie der Natur. Eine Revolutions-Geschichte, Berlin: Julius Eduard Hitzig, 1812.",Erstdruck: Berlin (Julius Eduard Hitzig) 1812.,1812,nein,nein,,Romantik (Romantik-Handbuch)
8,"Hauff, Wilhelm",m,1802-1827,Lichtenstein,151843,Hauff_Wilhelm_Lichtenstein,"Wilhelm Hauff: Sämtliche Werke in drei Bänden. Nach den Originaldrucken und Handschriften. Textredaktion und Anmerkungen Sibylle von Steinsdorff, München: Winkler, 1970.",Erstdruck: Stuttgart (Franckh) 1826.,1826,ja,ja,Romantik (ADLG),Romantik (ADLG)
11,"Hölderlin, Friedrich",m,1770-1843,Fragment von Hyperion,8406,Hoelderlin_Friedrich_Fragment_von_Hyperion,"Friedrich Hölderlin: Sämtliche Werke. Kleine Stuttgarter Ausgabe, 6 Bände, Band 3, Herausgegeben von Friedrich Beissner, Stuttgart: Cotta, 1958.","Entstanden 1794. Erstdruck in: Neue Thalia (Leipzig), November 1794.",1794,nein,ja,Romantik (Romantik-Handbuch),Romantik (Romantik-Handbuch)
